date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:11	126980/126980	---MCZ	200	added ('OK')	text/html	etag:W/%2265bca73c-1f004%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html	(from )
23:27:11	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Apr%202024%2017:57:11%20GMT	https://demos.themeselection.com/robots.txt		(from )
23:27:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2004%20Apr%202024%2017:57:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/sneatdashboard/www.googletagmanager.com/gtm.15445.delayed	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:11	65727/65727	---M--	200	added ('OK')	text/css	etag:%2265bca73c-100bf%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/boxicons.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/boxicons.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:12	101686/101686	---M--	200	added ('OK')	text/css	etag:%2265bca73c-18d36%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/fontawesome.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/fontawesome.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:12	31173/31173	---M--	200	added ('OK')	text/css	etag:%2265bca73c-79c5%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:12	616431/616431	---M--	200	added ('OK')	text/css	etag:%2265bca73c-967ef%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/core.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/core.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:12	51246/51246	---M--	200	added ('OK')	text/css	etag:%2265bca73c-c82e%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/theme-default.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/css/rtl/theme-default.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:12	3055/3055	---M--	200	added ('OK')	text/css	etag:%2265bca73c-bef%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/css/demo.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/css/demo.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:13	5478/5478	---M--	200	added ('OK')	text/css	etag:%2265bca73c-1566%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:13	1821/1821	---M--	200	added ('OK')	text/css	etag:%2265bca73c-71d%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
23:27:13	20367/20367	---M--	200	added ('OK')	text/css	etag:%2265bca73c-4f8f%22	https://demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	C:/My%20Web%20Sites/sneatdashboard/demos.themeselection.com/sneat-bootstrap-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.themeselection.com/sneat-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
